"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt"
"01009_2007",1,1009,2007,"PAN_PNA",2766,2701,199,173,9,7260,"PAN","PAN","PAN","PAN",2004,3,"PAN","PAN",1,1,0,0,"01_2007",0.38099173553719,0.372038567493113,0.0274104683195592,38.099173553719,38.773043215473,-0.673869661753947,-0.612824158305073,17348,1.62675945895027,NA,11.4362720980489,NA,NA,0
"01009_2010",1,1009,2010,"PRI_PVEM_PNA",2627,3403,512,266,14,8220,"PAN","PAN","PRI","PRI",2007,3,"PAN","PAN",0,0,1,0,"01_2010",0.319586374695864,0.413990267639903,0.062287104622871,31.9586374695864,38.099173553719,-6.14053608413263,-0.609,19668,34.7391648926758,NA,-11.2038907994569,24.0508964408756,97.1902857142857,1
"01009_2013",1,1009,2013,"PRI_PVEM",0,3246,0,209,5,9572,"PRI_PVEM_PNA","PRI","PRI","PRI",2010,3,"PRI","PRI",1,0,1,0,"01_2013",0,0.339114082741329,0,33.9114082741329,31.9586374695864,1.95277080454651,-0.646909670318765,17134,NA,12.8838722798454,19.8893395274454,NA,NA,0
"01010_1995",1,1010,1995,"PRI",873,2822,354,124,0,4274,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,NA,NA,NA,"01_1995",0.2042583060365,0.660271408516612,0.0828263921385119,66.0271408516612,NA,NA,-0.776,14278,NA,NA,NA,NA,NA,0
"01010_1998",1,1010,1998,"PRI",1821,3375,142,217,0,5452,"PRI","PRI","PRI","PRI",1995,3,"PRI","PRI",1,1,0,0,"01_1998",0.334005869405723,0.619038884812913,0.0260454878943507,61.9038884812913,66.0271408516612,-4.12325237036993,-0.609600203362828,14898,-6.7251166458617,42.0320306298735,-3.4293036965898,NA,NA,0
"01010_2001",1,1010,2001,"PRI",1424,2975,219,246,2,5950,"PAN","PAN","PRI","PRI",1998,3,"PRI","PRI",0,1,0,0,"01_2001",0.239327731092437,0.5,0.0368067226890756,50,61.9038884812913,-11.9038884812913,-0.541384094300469,15669,-1.04410629221381,-63.2028830530365,9.98037101662184,NA,NA,0
"01010_2004",1,1010,2004,"PAN",3114,2696,489,190,5,6299,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,1,0,0,"01_2004",0.494364184791237,0.428004445150024,0.0776313700587395,42.8004445150024,50,-7.19955548499762,-0.614497181395511,16741,3.96495681900228,-6.84153423958134,12.0283568594666,NA,NA,1
"01010_2007",1,1010,2007,"PRI",1770,2919,200,139,5,7038,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007",0.251491901108269,0.414748508098892,0.0284171639670361,25.1491901108269,42.8004445150024,-17.6512544041754,-0.528897915363241,15923,68.1603744064674,NA,18.1508565620301,NA,NA,1
"01010_2010",1,1010,2010,"PRI_PVEM_PNA",1330,2949,117,263,4,7195,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.184850590687978,0.409867963863794,0.0162612925642808,40.9867963863794,25.1491901108269,15.8376062755525,-0.672,18828,-130.165411977786,NA,-5.58144752439918,-16.8363822323503,75.7925714285714,0
"01011_1995",1,1011,1995,"PRI",1733,2943,197,169,0,5056,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,NA,NA,NA,"01_1995",0.342761075949367,0.582080696202532,0.0389636075949367,58.2080696202532,NA,NA,-1.285,17836,NA,NA,NA,NA,NA,0
